,type,name,length_km,toll,lat,lon,arg_min,volume
1,Secondary Highway,83,164,0,"[42.80752930679845 42.78842676740254 42.63734304672584 42.527937593822024
 42.36122452273049 42.32996582190083 42.251819069826674 42.178882101224126
 42.10073534914997 41.98264692379347 41.98091032930293 41.93923206153004
 41.8992903882477 41.85761212047481 41.83850958107891 41.810724069230325
 41.77425558492905 41.75167985655207 41.732577317156164 41.68568926591167
 41.65443056508201 41.60059613587537 41.54502511217819 41.44603922621759
 41.42172690335008 41.37136566312451 41.31926782840841 41.310584855955724
 41.27585296614499 41.24633085980586 41.220281942447805 41.19770621407083
 41.1021935170913 None]","[-100.50542846317806 -100.53495056951719 -100.5401603529888
 -100.53668716400773 -100.54537013646042 -100.52800419155504
 -100.53321397502665 -100.5262675970645 -100.5401603529888
 -100.54189694747934 -100.55752629789417 -100.5540531089131
 -100.56273608136578 -100.55752629789417 -100.54710673095096
 -100.54363354196988 -100.5262675970645 -100.52279440808344
 -100.50890165215914 -100.51411143563075 -100.50195527419699
 -100.48979911276324 -100.50021867970646 -100.50369186868753
 -100.50021867970646 -100.55926289238471 -100.61136072710082
 -100.62872667200618 -100.65130240038316 -100.67735131774121
 -100.70861001857088 -100.74855169185322 -100.7711274202302 None]",3815.0,880.1904761904761
2,Secondary Highway,840,98,0,"[36.02439122676168 35.96361041959289 35.906302801405175 35.85594156117961
 35.822946265859414 35.8316292383121 35.81252669891619 35.824682860349945
 35.83510242729317 35.84552199423639 35.86636112812283 35.875044100575515
 35.89067345099035 35.89375199157807 None]","[-87.27431503977813 -87.22916358302417 -87.16143639789324
 -87.09544580725284 -87.0364015945746 -86.84884938959662
 -86.75680988159817 -86.75160009812656 -86.74291712567387
 -86.70992183035368 -86.53105259782838 -86.48416454658388
 -86.47895476311228 -86.47279768193684 None]",5071.0,1410.645161290323
3,Secondary Highway,151,17,0,[44.151653442473936 44.14818025349286 None],[-87.72756620180824 -87.57300929215047 None],,
4,Major Highway,GSP,33,1,"[39.14301326086365 39.23361784527367 39.31002800285745 None
 39.31002800285745 39.34649648715862 39.410750483308504 None]","[-74.75920259253698 -74.67358541644307 -74.64579990459447 None
 -74.64406331010395 -74.61627779825528 -74.55376039659603 None]",1613.0,2057.483870967742
6,Secondary Highway,85,138,0,"[42.75716806657288 42.79016336189308 42.84920757457133 42.88220286989153
 42.88741265336314 42.90825178724958 42.946456866041395 43.0315499960777
 43.090594208755945 43.25557068535694 43.29203916965822 43.304195331091975
 43.37018592173237 43.41012759501472 43.427493539920086 43.4518058627876
 43.46222542973082 43.498693914032096 43.6167823393886 43.77481243802745
 43.814754111309796 43.85122259561107 43.89290086338395 43.929369347685224
 43.97104761545811 44.017935666702606 44.04224798957012 44.082189662852464
 44.132550903078034 44.13776068654964 44.15686322594555 44.170755981869846
 44.17596576534145 None]","[-104.4509711456777 -104.43881498424393 -104.40234649994267
 -104.39887331096159 -104.40581968892374 -104.4040830944332
 -104.36066823216979 -104.36761461013192 -104.36587801564139
 -104.29467764152938 -104.30336061398206 -104.30162401949153
 -104.22868705088898 -104.20437472802146 -104.19916494454985
 -104.21132110598361 -104.21132110598361 -104.20437472802146
 -104.19395516107825 -104.18874537760664 -104.18353559413502
 -104.19742835005933 -104.1870087831161 -104.18353559413502
 -104.19916494454985 -104.16269646024858 -104.15054029881483
 -104.13664754289053 -104.13143775941892 -104.10017905858926
 -104.07239354674067 -104.0689203577596 -104.0550276018353 None]",1490.0,1671.7096774193549
7,Secondary Highway,85,54,0,"[44.17596576534145 44.17770235983199 44.195068304737354 44.20548787168058
 44.22632700556702 44.22980019454809 44.24021976149132 44.243692950472386
 44.25758570639668 44.2818980292642 44.29926397416956 44.29231759620742
 44.295790785188494 44.314893324584396 44.33052267499923 44.37914732073426
 44.39130348216802 44.426035371978756 44.47292342322325 None]","[-104.05329100734477 -104.03766165692993 -104.03766165692993
 -103.98556382221383 -103.95951490485578 -103.92130982606396
 -103.92130982606396 -103.92825620402611 -103.92651960953557
 -103.90568047564913 -103.86747539685733 -103.83621669602766
 -103.82058734561284 -103.79801161723586 -103.7997482117264
 -103.72160145965223 -103.71465508169008 -103.711181892709
 -103.73375762108599 None]",5003.0,4752.064516129032
52,Secondary Highway,299,236,0,"[41.50334684440531 41.505083438895845 41.494663871952625 41.50161024991477
 41.49813706093369 41.47382473806618 41.46340517112296 41.454722198670275
 41.402624363954175 41.373102257615045 41.35920950169075 41.34358015127592
 41.312321450446255 41.28627253308821 41.239384481843715 41.21680875346674
 41.19596961958029 41.16992070222224 41.15255475731687 41.14560837935473
 41.13345221792097 41.086564166676474 41.06225184380896 41.07093481626164
 41.09177395014808 41.09872032811023 41.09872032811023 41.09003735565755
 41.076144599733254 41.046622493394125 41.01015400909285 40.99799784765909
 40.994524658678024 41.00147103664017 40.99105146969695 40.97889530826319
 40.973685524791584 40.97889530826319 40.96673914682943 40.890328989245816
 40.87469963883098 40.872963044340445 40.87817282781206 40.86948985535937
 40.862543477397224 40.852123910454004 40.87122644984991 40.86775326086884
 40.83649456003917 40.810445642681124 40.79655288675683 40.791343103285215
 40.787869914304146 40.780923536341994 40.780923536341994
 40.760084402455554 40.75661121347448 40.74271845755018 40.71319635121106
 40.69235721732462 40.68367424487193 40.66978148894764 40.62983981566529
 None]","[-120.54572888397281 -120.60998288012269 -120.65166114789557
 -120.69160282117791 -120.70549557710221 -120.74891043936563
 -120.78364232917636 -120.84789632532622 -120.931252860872
 -120.95382858924897 -120.94861880577736 -120.91215032147609
 -120.89304778208017 -120.88783799860857 -120.90867713249501
 -120.92430648290984 -120.94514561679628 -120.98161410109756
 -121.02850215234206 -121.09101955400138 -121.13269782177426
 -121.19521522343358 -121.20737138486734 -121.25773262509291
 -121.2716253810172 -121.28204494796043 -121.29593770388472
 -121.31156705429954 -121.32025002675223 -121.40360656229801
 -121.4366018576182 -121.4557043970141 -121.49217288131538
 -121.50085585376806 -121.51301201520182 -121.5164852041829
 -121.52343158214504 -121.55121709399363 -121.5737928223706
 -121.65541276342584 -121.68319827527442 -121.70924719263247
 -121.73008632651892 -121.73529610999053 -121.73529610999053
 -121.76134502734858 -121.8707504802524 -121.88637983066724
 -121.92458490945904 -121.94021425987387 -121.94368744885494
 -121.94889723232656 -121.97147296070354 -121.97841933866569
 -122.00620485051428 -122.01662441745749 -122.02357079541964
 -122.07393203564521 -122.08608819707896 -122.10866392545594
 -122.15207878771936 -122.17639111058688 -122.27537699654748 None]",4349.0,1216.8387096774193
53,Major Highway,5,100,0,"[43.15832139388689 43.16874096083011 43.180897122263865 43.20520944513138
 43.29724895312983 43.354556571317545 43.39102505561882 43.50216710301317
 43.51605985893747 43.53689899282391 43.56121131569142 43.61157255591699
 43.64283125674665 43.67929974104793 43.694929091462754 43.7157682253492
 43.72792438678296 43.753973304141006 43.74702692617886 43.752236709650475
 43.79738816640443 43.8668519460259 43.939788914628444 43.99535993832563
 44.040511395079584 44.070033501418706 None]","[-123.36422174211405 -123.37811449803836 -123.37464130905728
 -123.36074855313298 -123.3520655806803 -123.3329630412844
 -123.34164601373708 -123.32254347434117 -123.31386050188848
 -123.29302136800204 -123.28433839554937 -123.2200843993995
 -123.21834780490896 -123.20271845449413 -123.2009818600036
 -123.20966483245628 -123.2009818600036 -123.16451337570233
 -123.11415213547676 -123.09157640709978 -123.04468835585529
 -123.0169028440067 -123.0030100880824 -123.00474668257294
 -123.04468835585529 -123.04642495034582 None]",4347.0,6285.032258064516
54,Secondary Highway,2,258,0,"[48.312533841800125 48.31079724730959 48.32642659772442 48.331636381196034
 48.322953408743345 48.32816319221496 48.32469000323388 48.331636381196034
 48.30732405832852 48.31079724730959 48.32642659772442 48.32816319221496
 48.34031935364872 48.34379254262979 48.21875773931114 48.21354795583953
 48.177079471538256 48.1510305541802 48.145820770708596 48.145820770708596
 None]","[-101.54391196851908 -101.64984423244182 -101.73146417349706
 -101.78877179168477 -101.94680189032361 -102.02321204790724
 -102.17950555205555 -102.29585738292151 -102.38616029642942
 -102.5685027179358 -102.60844439121814 -102.72132303310303
 -102.78731362374343 -103.62782535716325 -103.62608876267271
 -103.63129854614432 -103.63129854614432 -103.67124021942666
 -103.68513297535097 -103.74244059353867 None]",3902.0,7516.8387096774195
55,Secondary Highway,140,317,0,"[41.39741458048269 41.39741458048269 41.406097552935364 41.45819538765147
 41.48250771051897 41.604069324856425 41.77078239594812 41.80204109677766
 41.85934871496545 41.88018784885185 41.946178439492144 41.944441845001734
 41.91839292764365 41.911446549681386 41.90276357722888 41.878451254361266
 41.86976828190859 41.86976828190859 41.88713422681394 41.88713422681394
 41.913183144172024 41.907973360700396 41.881924443342314
 41.87150487639917 41.90450017171935 41.92012952213412 41.96354438439755
 41.99306649073668 None 41.99480308522726 41.99827627420831
 42.00001286869889 42.01216903013267 42.017378813604296 42.02432519156639
 42.05384729790546 42.09031578220686 42.095525565678486 42.093788971187905
 42.10247194364058 42.1146281050743 42.13373064447029 42.16498934529983
 42.17540891224314 42.18582847918623 42.21187739654431 42.22229696348762
 42.21361399103495 42.220560368996985 42.24487269186466 42.25702885329838
 None]","[-117.78280704952874 -117.90610525835683 -118.04676941209038
 -118.26210712891691 -118.29336582974656 -118.41666403857471
 -118.54343543638385 -118.56601116476088 -118.56948435374193
 -118.59206008211885 -118.61637240498641 -118.64936770030664
 -118.7049387240038 -118.72751445238077 -118.73446083034293
 -118.73619742483345 -118.74661699177665 -118.77787569260636
 -118.83518331079398 -118.88207136203857 -118.95500833064108
 -118.97063768105585 -118.9949500039234 -119.05052102762062
 -119.14603372460016 -119.26412214995662 -119.2936442562958
 -119.30580041772953 None -119.30580041772953 -119.31274679569162
 -119.39783992572796 -119.43604500451977 -119.4759866778021
 -119.48466965025477 -119.48987943372646 -119.6409631544031
 -119.67569504421385 -119.70348055606246 -119.73647585138269
 -119.76078817425014 -119.78162730813665 -119.80246644202299
 -119.8233055759095 -119.97265270209567 -120.04211648171707
 -120.08900453296167 -120.12720961175336 -120.2400882536383
 -120.31823500571244 -120.34081073408947 None]",4349.0,1216.8387096774193
