s_id,direction,lane,lat,long,month,state,country,dailytraffic
416,5,1,39.939597,111.541724,1,Alabama,USA,15172.034482758621
163,1,1,34.774272,83.075817,1,Alabama,USA,7232.8
163,1,1,40.604505,82.68904,1,Alabama,USA,7232.8
860214,3,2,26.23112,80.16312,1,Florida,USA,9129.0
163,1,1,41.66975,107.74302,1,Alabama,USA,7232.8
163,1,1,43.680282,116.462632,1,Alabama,USA,7232.8
163,1,2,33.633792,86.624079,1,Alabama,USA,12413.5
163,1,1,33.633792,86.624079,1,Alabama,USA,7232.8
163,1,2,43.680282,116.462632,1,Alabama,USA,12413.5
163,5,1,33.633792,86.624079,1,Alabama,USA,3383.233333333333
163,5,1,34.774272,83.075817,1,Alabama,USA,3383.233333333333
163,5,1,40.604505,82.68904,1,Alabama,USA,3383.233333333333
860214,3,1,26.23112,80.16312,1,Florida,USA,9948.777777777777
163,5,1,41.66975,107.74302,1,Alabama,USA,3383.233333333333
163,5,1,43.680282,116.462632,1,Alabama,USA,3383.233333333333
163,1,3,33.633792,86.624079,1,Alabama,USA,10276.7
163,5,2,33.633792,86.624079,1,Alabama,USA,13928.3
160,5,5,33.520176,86.834293,1,Alabama,USA,5810.52
160,5,3,33.520176,86.834293,1,Alabama,USA,9928.72
160,1,2,31.91226,81.35294,1,Alabama,USA,14415.64
160,1,2,33.520176,86.834293,1,Alabama,USA,14415.64
160,1,2,41.26567,104.8425,1,Alabama,USA,14415.64
860214,7,1,26.23112,80.16312,1,Florida,USA,8813.661290322581
160,1,3,33.520176,86.834293,1,Alabama,USA,3893.48
160,1,4,33.520176,86.834293,1,Alabama,USA,1736.72
160,5,4,33.520176,86.834293,1,Alabama,USA,9324.36
160,5,1,31.91226,81.35294,1,Alabama,USA,12878.64
160,5,1,34.492656,82.000883,1,Alabama,USA,12878.64
160,5,1,41.26567,104.8425,1,Alabama,USA,12878.64
160,5,2,31.91226,81.35294,1,Alabama,USA,13300.32
860214,3,3,26.23112,80.16312,1,Florida,USA,7781.37037037037
160,5,2,33.520176,86.834293,1,Alabama,USA,13300.32
160,5,2,41.26567,104.8425,1,Alabama,USA,13300.32
160,5,1,33.520176,86.834293,1,Alabama,USA,12878.64
163,5,2,43.680282,116.462632,1,Alabama,USA,13928.3
163,5,3,33.633792,86.624079,1,Alabama,USA,13204.7
164,1,1,30.6788,82.558,1,Alabama,USA,7411.129032258064
165,1,1,43.994474,98.030824,1,Alabama,USA,9832.258064516129
165,1,2,33.548493,86.766913,1,Alabama,USA,14678.354838709678
165,1,2,43.994474,98.030824,1,Alabama,USA,14678.354838709678
165,1,3,33.548493,86.766913,1,Alabama,USA,14444.225806451614
165,1,4,33.548493,86.766913,1,Alabama,USA,9489.032258064517
165,5,1,33.548493,86.766913,1,Alabama,USA,10335.451612903225
165,1,1,33.548493,86.766913,1,Alabama,USA,9832.258064516129
165,5,1,43.994474,98.030824,1,Alabama,USA,10335.451612903225
165,5,2,43.994474,98.030824,1,Alabama,USA,16272.58064516129
799929,5,2,28.932,80.87713,1,Florida,USA,3481.173076923077
165,5,3,33.548493,86.766913,1,Alabama,USA,15995.741935483871
165,5,4,33.548493,86.766913,1,Alabama,USA,9462.548387096775
168,1,1,33.052018,82.66383,1,Alabama,USA,9110.451612903225
168,1,1,33.544928,86.752254,1,Alabama,USA,9110.451612903225
165,5,2,33.548493,86.766913,1,Alabama,USA,16272.58064516129
164,5,5,33.546019,86.783626,1,Alabama,USA,10433.387096774193
164,5,4,33.546019,86.783626,1,Alabama,USA,17977.709677419356
164,5,3,33.546019,86.783626,1,Alabama,USA,15581.032258064517
164,1,1,33.546019,86.783626,1,Alabama,USA,7411.129032258064
164,1,1,34.774272,83.075817,1,Alabama,USA,7411.129032258064
860176,5,2,25.9982,80.1425,1,Florida,USA,7301.983333333334
164,1,1,47.386478,92.517191,1,Alabama,USA,7411.129032258064
164,1,2,33.546019,86.783626,1,Alabama,USA,16507.548387096773
164,1,2,47.386478,92.517191,1,Alabama,USA,16507.548387096773
164,1,3,33.546019,86.783626,1,Alabama,USA,16530.483870967742
164,1,4,33.546019,86.783626,1,Alabama,USA,8715.677419354839
164,5,1,30.6788,82.558,1,Alabama,USA,1336.7096774193549
164,5,1,33.546019,86.783626,1,Alabama,USA,1336.7096774193549
164,5,1,34.774272,83.075817,1,Alabama,USA,1336.7096774193549
860176,5,1,25.9982,80.1425,1,Florida,USA,7259.183333333333
164,5,1,47.386478,92.517191,1,Alabama,USA,1336.7096774193549
164,5,2,33.546019,86.783626,1,Alabama,USA,9503.774193548386
164,5,2,47.386478,92.517191,1,Alabama,USA,9503.774193548386
160,1,1,41.26567,104.8425,1,Alabama,USA,3001.76
160,1,1,34.492656,82.000883,1,Alabama,USA,3001.76
160,1,1,33.520176,86.834293,1,Alabama,USA,3001.76
160,1,1,31.91226,81.35294,1,Alabama,USA,3001.76
155,5,4,33.54383,86.826916,1,Alabama,USA,10935.931034482759
155,5,5,33.54383,86.826916,1,Alabama,USA,773.4827586206897
156,1,1,31.8879,82.60414,1,Alabama,USA,5705.529411764706
156,1,1,33.548273,86.828503,1,Alabama,USA,5705.529411764706
156,1,1,35.328797,85.163594,1,Alabama,USA,5705.529411764706
156,1,1,44.163,105.44475,1,Alabama,USA,5705.529411764706
155,5,3,33.54383,86.826916,1,Alabama,USA,15859.103448275862
156,1,2,31.8879,82.60414,1,Alabama,USA,10468.64705882353
156,1,2,35.328797,85.163594,1,Alabama,USA,10468.64705882353
156,1,2,44.163,105.44475,1,Alabama,USA,10468.64705882353
860255,3,2,26.27473,80.14619,1,Florida,USA,7745.866666666667
156,1,3,33.548273,86.828503,1,Alabama,USA,15111.764705882353
