new_ev,capacity
new_ev_1002_0,150.0
new_ev_1002_1,150.0
new_ev_1002_2,150.0
new_ev_1002_3,150.0
new_ev_1002_4,150.0
new_ev_1003_0,150.0
new_ev_1003_1,150.0
new_ev_1005_0,94.0
new_ev_1005_1,150.0
new_ev_1005_2,150.0
new_ev_1005_3,150.0
new_ev_1005_4,150.0
new_ev_1005_5,149.0
new_ev_1006_0,150.0
new_ev_1006_1,150.0
new_ev_1006_2,150.0
new_ev_1006_3,150.0
new_ev_1006_4,150.0
new_ev_1006_5,150.0
new_ev_1006_6,35.0
new_ev_1007_0,150.0
new_ev_1007_1,150.0
new_ev_1007_2,150.0
new_ev_1007_3,46.0
new_ev_1007_4,150.0
new_ev_1007_5,149.0
new_ev_1008_0,0.0
new_ev_1008_1,150.0
new_ev_1008_2,71.0
new_ev_1008_3,0.0
new_ev_1008_4,0.0
new_ev_1008_5,0.0
new_ev_1008_6,0.0
new_ev_1008_7,0.0
new_ev_1008_8,150.0
new_ev_1008_9,150.0
new_ev_1009_0,0.0
new_ev_1009_1,0.0
new_ev_1009_2,0.0
new_ev_1009_3,127.0
new_ev_1009_4,150.0
new_ev_1009_5,0.0
new_ev_1009_6,0.0
new_ev_1009_7,0.0
new_ev_100_0,150.0
new_ev_100_1,150.0
new_ev_100_2,150.0
new_ev_1010_0,0.0
new_ev_1010_1,0.0
new_ev_1010_2,150.0
new_ev_1010_3,19.0
new_ev_1010_4,0.0
new_ev_1011_0,0.0
new_ev_1011_1,0.0
new_ev_1011_2,0.0
new_ev_1011_3,0.0
new_ev_1011_4,150.0
new_ev_1011_5,150.0
new_ev_1011_6,0.0
new_ev_1011_7,0.0
new_ev_1011_8,0.0
new_ev_1011_9,18.0
new_ev_1012_0,0.0
new_ev_1012_1,0.0
new_ev_1012_2,0.0
new_ev_1012_3,150.0
new_ev_1014_0,86.0
new_ev_1014_1,0.0
new_ev_1014_2,0.0
new_ev_1014_3,0.0
new_ev_1014_4,150.0
new_ev_1015_0,150.0
new_ev_1015_1,0.0
new_ev_1015_2,0.0
new_ev_1015_3,0.0
new_ev_1015_4,19.0
new_ev_1015_5,0.0
new_ev_1017_0,0.0
new_ev_1017_1,150.0
new_ev_1017_2,0.0
new_ev_1017_3,0.0
new_ev_1017_4,37.0
new_ev_1017_5,0.0
new_ev_1017_6,0.0
new_ev_1018_0,0.0
new_ev_1018_1,0.0
new_ev_1018_2,128.0
new_ev_1018_3,0.0
new_ev_1018_4,150.0
new_ev_1019_0,15.0
new_ev_1019_1,0.0
new_ev_1019_2,0.0
new_ev_1019_3,150.0
new_ev_1019_4,0.0
new_ev_1019_5,0.0
new_ev_1019_6,0.0
new_ev_1019_7,0.0
new_ev_1019_8,0.0
new_ev_101_0,150.0
new_ev_101_1,150.0
new_ev_1020_0,76.0
new_ev_1020_1,150.0
new_ev_1020_2,0.0
new_ev_1020_3,0.0
new_ev_1020_4,0.0
new_ev_1028_0,3.0
new_ev_1029_0,4.0
new_ev_102_0,90.0
new_ev_102_1,0.0
new_ev_102_2,0.0
new_ev_102_3,0.0
new_ev_102_4,0.0
new_ev_103_0,0.0
new_ev_103_1,0.0
new_ev_103_2,0.0
new_ev_104_0,39.0
new_ev_104_1,0.0
new_ev_104_2,0.0
new_ev_104_3,0.0
new_ev_1057_0,150.0
new_ev_1057_1,63.0
new_ev_1059_0,0.0
new_ev_1059_1,0.0
new_ev_1059_2,0.0
new_ev_1059_3,0.0
new_ev_1059_4,0.0
new_ev_1059_5,91.0
new_ev_1059_6,0.0
new_ev_1059_7,0.0
new_ev_1059_8,0.0
new_ev_105_0,68.0
new_ev_1060_0,0.0
new_ev_1060_1,0.0
new_ev_1060_2,0.0
new_ev_1060_3,0.0
new_ev_1060_4,0.0
new_ev_1060_5,0.0
new_ev_1060_6,6.0
new_ev_1061_0,12.0
new_ev_1061_1,0.0
new_ev_1061_10,0.0
new_ev_1061_2,0.0
new_ev_1061_3,0.0
new_ev_1061_4,0.0
new_ev_1061_5,0.0
new_ev_1061_6,0.0
new_ev_1061_7,0.0
new_ev_1061_8,0.0
new_ev_1061_9,0.0
new_ev_1062_0,0.0
new_ev_1062_1,0.0
new_ev_1062_10,0.0
new_ev_1062_11,0.0
new_ev_1062_2,0.0
new_ev_1062_3,0.0
new_ev_1062_4,0.0
new_ev_1062_5,61.0
new_ev_1062_6,0.0
new_ev_1062_7,0.0
new_ev_1062_8,0.0
new_ev_1062_9,0.0
new_ev_1063_0,0.0
new_ev_1063_1,0.0
new_ev_1063_2,0.0
new_ev_1063_3,0.0
new_ev_1063_4,0.0
new_ev_1063_5,32.0
new_ev_1064_0,0.0
new_ev_1064_1,0.0
new_ev_1064_10,0.0
new_ev_1064_11,0.0
new_ev_1064_12,0.0
new_ev_1064_13,150.0
new_ev_1064_14,150.0
new_ev_1064_15,150.0
new_ev_1064_16,150.0
new_ev_1064_17,0.0
new_ev_1064_18,150.0
new_ev_1064_2,150.0
new_ev_1064_3,93.0
new_ev_1064_4,0.0
new_ev_1064_5,0.0
new_ev_1064_6,0.0
new_ev_1064_7,0.0
new_ev_1064_8,0.0
new_ev_1064_9,0.0
new_ev_1065_0,3.0
new_ev_1066_0,0.0
new_ev_1066_1,150.0
new_ev_1066_2,0.0
new_ev_1066_3,0.0
new_ev_1066_4,119.0
new_ev_1066_5,150.0
new_ev_1066_6,150.0
new_ev_1068_0,0.0
new_ev_1068_1,0.0
new_ev_1068_2,0.0
new_ev_1068_3,0.0
new_ev_1068_4,0.0
new_ev_1068_5,0.0
new_ev_1068_6,0.0
new_ev_1068_7,7.0
new_ev_106_0,0.0
new_ev_106_1,0.0
new_ev_106_2,67.0
new_ev_1081_0,0.0
new_ev_1081_1,0.0
new_ev_1081_2,0.0
new_ev_1081_3,0.0
new_ev_1082_0,0.0
new_ev_1082_1,0.0
new_ev_1082_2,0.0
new_ev_1082_3,0.0
new_ev_1082_4,0.0
new_ev_110_0,7.0
new_ev_110_1,0.0
new_ev_110_2,0.0
new_ev_1126_0,150.0
new_ev_1126_1,150.0
new_ev_1126_2,113.0
new_ev_1127_0,150.0
new_ev_1127_1,150.0
new_ev_1128_0,150.0
new_ev_1128_1,135.0
new_ev_1129_0,0.0
new_ev_1129_1,0.0
new_ev_1130_0,150.0
new_ev_1130_1,150.0
new_ev_1130_2,150.0
new_ev_1131_0,0.0
new_ev_1132_0,120.0
new_ev_1132_1,150.0
new_ev_1132_2,150.0
new_ev_1132_3,150.0
new_ev_1133_0,143.0
